date,ASIANPAINT.NS,AXISBANK.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NTPC.NS,ONGC.NS,RELIANCE.NS,SBIN.NS,SHREECEM.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS
2019-09-11,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,81,0,0,0,100,100,0,0,0,0,100,0,0,0,0,0,100,0,100,3,0,0,0,0,0,0
2019-09-12,0,0,0,0,0,49,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,-30,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100
2019-09-13,100,0,0,0,0,-19,0,0,0,0,0,-46,40,0,0,0,-81,0,0,0,-100,-19,0,0,0,0,0,1,-17,0,0,0,100,0,0,0,0,0,0,0,0,-68
2019-09-16,0,100,0,0,0,0,0,94,0,0,21,-54,-40,0,0,0,100,0,0,0,0,0,0,0,100,0,-100,-1,-50,0,0,0,100,0,0,-3,100,0,0,0,0,0
2019-09-17,-3,0,0,0,0,0,0,100,0,16,-18,0,100,0,0,0,-100,0,0,0,100,0,0,100,100,0,0,8,0,0,0,0,0,0,0,0,-100,0,0,0,0,-32
2019-09-18,0,0,0,0,0,0,0,0,0,-16,-3,0,-54,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,-33,0,0,0,0,0,0,100,0,0,0,0,0,100
2019-09-19,0,-100,0,0,100,100,43,-100,0,0,0,-1,0,0,0,0,0,0,0,0,0,100,0,-56,0,0,0,-8,0,0,2,0,100,0,-82,-36,0,0,0,0,0,-100
2019-09-20,-34,0,0,0,0,0,-26,0,0,0,0,2,-41,0,0,0,0,0,0,0,-100,-55,0,0,0,0,26,0,0,0,-2,0,-60,0,3,0,0,0,0,0,0,100
2019-09-23,100,1,0,0,1,-60,-17,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-26,100,0,0,0,0,0,0,0,-64,0,0,0,55,0,-46
2019-09-24,-50,0,0,-1,-93,0,0,0,0,0,80,0,0,0,0,0,100,0,0,0,0,-70,17,0,0,0,0,100,0,0,0,0,-78,0,0,0,0,0,0,-41,0,-54
2019-09-25,0,-1,0,0,-8,1,24,100,0,0,0,0,-5,0,0,0,-100,0,0,100,0,0,-15,0,-44,0,0,-100,0,0,100,0,100,0,2,0,0,0,0,0,0,100
2019-09-26,0,0,0,33,0,-19,-24,0,0,0,-80,0,0,0,100,0,0,0,0,0,0,0,-2,-44,-56,0,0,-17,0,0,0,0,-74,0,2,-1,0,100,0,-14,0,0
2019-09-27,0,0,31,0,0,2,0,0,0,0,0,0,0,0,-94,0,0,0,0,0,2,0,0,0,0,0,0,100,0,0,-55,0,-100,0,0,0,0,0,0,0,0,100
2019-09-30,100,0,-31,0,3,100,0,-93,0,0,3,0,0,0,-6,0,0,100,0,-38,0,-100,0,0,0,0,0,-100,100,0,-16,2,100,0,-25,100,0,0,0,0,0,0
2019-10-01,-100,0,0,43,-3,-65,0,0,0,0,0,100,100,0,0,0,0,0,0,-62,0,-22,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,2,0,0,0,0
